lane,sample,fraction,integrated_signal,relative_to_max
1,NC,S,963101,0.0058
2,NC,P,799464,0.0048
3,PC+LVA,S,7101629,0.0426
4,PC+LVA,P,16188564,0.0972
5,PC-LVA,S,87562524,0.5258
6,PC-LVA,P,90758068,0.5450
7,BD3 ON,S,127615511,0.7663
8,BD3 ON,P,166541632,1.0000
9,BD3 OFF,S,16321295,0.0980
10,BD3 OFF,P,10256580,0.0616
11,BD4 ON,S,23622593,0.1418
12,BD4 ON,P,19820732,0.1190
13,BD4 OFF,S,36564408,0.2196
14,BD4 OFF,P,25509438,0.1532

sample,S,P,total,percent_soluble,percent_insoluble
NC,963101,799464,1762565,54.6,45.4
PC+LVA,7101629,16188564,23290193,30.5,69.5
PC-LVA,87562524,90758068,178320592,49.1,50.9
BD3 ON,127615511,166541632,294157143,43.4,56.6
BD3 OFF,16321295,10256580,26577875,61.4,38.6
BD4 ON,23622593,19820732,43443325,54.4,45.6
BD4 OFF,36564408,25509438,62073846,58.9,41.1
